Epoch:0	SE:7.70972672192635
Epoch:1	SE:3.135993815565086
Epoch:2	SE:2.7651568756204363
Epoch:3	SE:2.6968729022886375
Epoch:4	SE:2.6522168653912184
Epoch:5	SE:2.628172407975873
Epoch:6	SE:2.608308921348353
Epoch:7	SE:2.5856490969908563
Epoch:8	SE:2.5568644582595463
Epoch:9	SE:2.5180964104560988
Epoch:10	SE:2.4761577578851663
Epoch:11	SE:2.4280541721273505
Epoch:12	SE:2.373159961221128
Epoch:13	SE:2.3159755353335343
Epoch:14	SE:2.2519646678353586
Epoch:15	SE:2.1864688377617414
Epoch:16	SE:2.1188561718017294
Epoch:17	SE:2.0533360590106597
Epoch:18	SE:1.9910083263760183
Epoch:19	SE:1.933218029760978
Epoch:20	SE:1.8867882685102808
Epoch:21	SE:1.8431085283423132
Epoch:22	SE:1.8060442597960196
Epoch:23	SE:1.7724224345680502
Epoch:24	SE:1.7422410620609523
Epoch:25	SE:1.713554163954848
Epoch:26	SE:1.688163656486981
Epoch:27	SE:1.663428548531204
Epoch:28	SE:1.6399982739091097
Epoch:29	SE:1.6182054087916562
Epoch:30	SE:1.5975828651934612
Epoch:31	SE:1.5790330638836374
Epoch:32	SE:1.5601920600762256
Epoch:33	SE:1.5430718154323106
Epoch:34	SE:1.525882861770139
Epoch:35	SE:1.5095413481176114
Epoch:36	SE:1.493786010446964
Epoch:37	SE:1.47849227988463
Epoch:38	SE:1.4635648870202032
Epoch:39	SE:1.4492574335865975
Epoch:40	SE:1.4376425211539579
Epoch:41	SE:1.426746592276446
Epoch:42	SE:1.4167852550683204
Epoch:43	SE:1.4075317677697752
Epoch:44	SE:1.3982886896470288
Epoch:45	SE:1.3894463214328043
Epoch:46	SE:1.3811313543459927
Epoch:47	SE:1.3728411317283797
Epoch:48	SE:1.3637058159459698
Epoch:49	SE:1.3566342898994799
Epoch:50	SE:1.3486226345530967
Epoch:51	SE:1.3411390723624816
Epoch:52	SE:1.333600553807409
Epoch:53	SE:1.3262924401098912
Epoch:54	SE:1.3193426350689252
Epoch:55	SE:1.3129264884474734
Epoch:56	SE:1.305781993620669
Epoch:57	SE:1.299284360686605
Epoch:58	SE:1.2933873202927717
Epoch:59	SE:1.2873599550496204
Epoch:60	SE:1.2844897683445282
Epoch:61	SE:1.2816255154087015
Epoch:62	SE:1.278207082754241
Epoch:63	SE:1.2815886419148295
Epoch:64	SE:1.278080363718124
Epoch:65	SE:1.2736939626342842
Epoch:66	SE:1.2693405308151946
Epoch:67	SE:1.2610737793503606
Epoch:68	SE:1.256145468370133
Epoch:69	SE:1.251952563026298
Epoch:70	SE:1.249289098448075
Epoch:71	SE:1.2452758403922621
Epoch:72	SE:1.241875514387621
Epoch:73	SE:1.2372325615705397
Epoch:74	SE:1.2333799337880924
Epoch:75	SE:1.2301604663786556
Epoch:76	SE:1.226687352259706
Epoch:77	SE:1.2236419247512536
Epoch:78	SE:1.2194568434545887
Epoch:79	SE:1.21724667789207
