Epoch:0	SE:1.999902606010437
Epoch:1	SE:1.2600618600845337
Epoch:2	SE:1.2467446327209473
Epoch:3	SE:1.239971399307251
Epoch:4	SE:1.2353088855743408
Epoch:5	SE:1.2317708730697632
Epoch:6	SE:1.2287431955337524
Epoch:7	SE:1.225860357284546
Epoch:8	SE:1.2229257822036743
Epoch:9	SE:1.2198123931884766
Epoch:10	SE:1.2164158821105957
Epoch:11	SE:1.2126342058181763
Epoch:12	SE:1.208372950553894
Epoch:13	SE:1.2034956216812134
Epoch:14	SE:1.1977155208587646
Epoch:15	SE:1.1904442310333252
Epoch:16	SE:1.1818463802337646
Epoch:17	SE:1.1733309030532837
Epoch:18	SE:1.1650654077529907
Epoch:19	SE:1.156874418258667
